player.id,player.name,player.firstname,player.lastname,player.age,player.birth.date,player.birth.place,player.birth.country,player.nationality,player.height,player.weight,player.number,player.position,player.photo
21090,Diego Carlos,Diego Carlos,Santos Silva,32,1993-03-15,Barra Bonita,Brazil,Brazil,186 cm,79 kg,3,Defender,https://media.api-sports.io/football/players/21090.png
21487,P. Djilobodji,El Hadji Papy Mison,Djilobodji,37,1988-12-01,Kaolack,Senegal,Senegal,193 cm,82 kg,3,Defender,https://media.api-sports.io/football/players/21487.png
21097,Andrei Girotto,Andrei,Girotto,33,1992-02-17,Bento Gonçalves,Brazil,Brazil,186 cm,79 kg,4,Defender,https://media.api-sports.io/football/players/21097.png
388777,B. Meupiyou,Ndemeni Bastien,Meupiyou Menadjou,19,2006-03-19,Paris,France,France,191 cm,80 kg,33,Defender,https://media.api-sports.io/football/players/388777.png
116996,N. Pamarot,Noé Elias,Pamarot,46,1979-04-14,Fontenay-sous-Bois,France,France,180 cm,86 kg,,Defender,https://media.api-sports.io/football/players/116996.png
113747,X. Pentecote,Xavier,Pentecote,39,1986-08-16,Saint-Dié-des-Vosges,France,France,180 cm,77 kg,,Attacker,https://media.api-sports.io/football/players/113747.png
84587,Marama Vahirua,Marama,Vahirua,45,1980-05-12,Papeete,Tahiti,Tahiti,172 cm,68 kg,,Attacker,https://media.api-sports.io/football/players/84587.png
90618,Abraham Guie Gneki,Abraham,Guie Gneki,39,1986-07-25,San Pédro,Côte d'Ivoire,Côte d'Ivoire,180 cm,70 kg,,Attacker,https://media.api-sports.io/football/players/90618.png
113913,S. Traoré,Sammy,Traoré,49,1976-02-25,Créteil,France,Mali,192 cm,82 kg,,Defender,https://media.api-sports.io/football/players/113913.png
113722,O. Apam,Onyekachi,Apam,38,1986-12-30,Aba,Nigeria,Nigeria,180 cm,84 kg,,Defender,https://media.api-sports.io/football/players/113722.png
113701,D. Bellion,David,Bellion,42,1982-11-27,Sèvres,France,France,181 cm,78 kg,,Attacker,https://media.api-sports.io/football/players/113701.png
87694,E. Mouloungui,Eric,Mouloungui,41,1984-01-04,Port Gentil,Gabon,Gabon,186 cm,73 kg,,Attacker,https://media.api-sports.io/football/players/87694.png
24804,V. Koziello,Vincent Edouard André,Koziello,29,1995-10-28,Grasse,France,France,168 cm,58 kg,26,Midfielder,https://media.api-sports.io/football/players/24804.png
21096,V. Eysseric,Valentin,Eysseric,33,1992-03-25,Aix-en-Provence,France,France,181 cm,73 kg,8,Midfielder,https://media.api-sports.io/football/players/21096.png
8678,A. Lusamba,Arnaud Rene,Lusamba,28,1997-01-04,Metz,France,Congo DR,180 cm,74 kg,66,Midfielder,https://media.api-sports.io/football/players/8678.png
22161,P. Burner,Patrick Julien,Burner,29,1996-04-11,Fort-de-France,Martinique,Martinique,170 cm,69 kg,15,Defender,https://media.api-sports.io/football/players/22161.png
1901,J. Amavi,Jordan Kévin,Amavi,31,1994-03-09,Toulon,France,France,176 cm,70 kg,19,Defender,https://media.api-sports.io/football/players/1901.png
18785,N. Mendy,Nampalys,Mendy,33,1992-06-23,La Seyne-sur-Mer,France,Senegal,168 cm,70 kg,26,Midfielder,https://media.api-sports.io/football/players/18785.png
2274,M. Bułka,Marcin,Bułka,26,1999-10-04,Płock,Poland,Poland,199 cm,97 kg,90,Goalkeeper,https://media.api-sports.io/football/players/2274.png
25646,A. Pléa,Alassane Alexandre,Pléa,32,1993-03-10,Lille,France,France,181 cm,79 kg,14,Attacker,https://media.api-sports.io/football/players/25646.png
22164,C. Hérelle,Christophe,Hérelle,33,1992-08-22,Sochaux,France,Martinique,188 cm,75 kg,29,Defender,https://media.api-sports.io/football/players/22164.png
21592,G. Laborde,Gaëtan,Laborde,31,1994-05-03,Mont-de-Marsan,France,France,181 cm,78 kg,24,Attacker,https://media.api-sports.io/football/players/21592.png
192,Dalbert Henrique,Dalbert Henrique,Chagas Estevão,32,1993-09-08,Barra Mansa,Brazil,Brazil,181 cm,70 kg,29,Defender,https://media.api-sports.io/football/players/192.png
36910,C. Stengs,Calvin,Stengs,27,1998-12-18,Amsterdam,Netherlands,Netherlands,182 cm,74 kg,10,Attacker,https://media.api-sports.io/football/players/36910.png
945,J. Lotomba,Mvula Jordan,Lotomba,27,1998-09-29,,Switzerland,Switzerland,177 cm,71 kg,30,Defender,https://media.api-sports.io/football/players/945.png
22160,O. Boscagli,Olivier Maxime,Boscagli,28,1997-11-18,Monaco,France,France,181 cm,68 kg,18,Defender,https://media.api-sports.io/football/players/22160.png
22086,T. Kolodziejczak,Timothée,Kolodziejczak,34,1991-10-01,Arras,France,France,185 cm,75 kg,15,Defender,https://media.api-sports.io/football/players/22086.png
22170,P. Lees-Melou,Pierre,Lees-Melou,32,1993-05-25,Langon,France,France,185 cm,69 kg,20,Midfielder,https://media.api-sports.io/football/players/22170.png
107,S. Diop,Sofiane,Diop,25,2000-06-09,Tours,France,France,175 cm,65 kg,10,Midfielder,https://media.api-sports.io/football/players/107.png
407017,M. Lumpungu,Moïse Bombito,Lumpungu,25,2000-03-30,Montreal,Canada,Canada,190 cm,83 kg,64,Defender,https://media.api-sports.io/football/players/407017.png
116,K. Thuram,Khéphren,Thuram-Ulien,24,2001-03-26,Reggio Emilia,France,France,192 cm,80 kg,19,Midfielder,https://media.api-sports.io/football/players/116.png
22007,H. Kamara,Hassane,Kamara,31,1994-03-05,Saint Denis,France,Côte d'Ivoire,168 cm,67 kg,12,Defender,https://media.api-sports.io/football/players/22007.png
20634,A. Claude-Maurice,Alexis,Claude-Maurice,27,1998-06-06,Noisy-le-Grand,France,France,174 cm,62 kg,18,Attacker,https://media.api-sports.io/football/players/20634.png
20600,R. Perraud,Romain Paul Jean-Michel,Perraud,28,1997-09-22,Toulouse,France,France,173 cm,68 kg,15,Defender,https://media.api-sports.io/football/players/20600.png
237068,A. Balde,Aliou Badara,Balde,23,2002-12-12,Baghagha,Senegal,Senegal,172 cm,60 kg,27,Attacker,https://media.api-sports.io/football/players/237068.png
22169,W. Cyprien,Wylan Jean-Claude,Cyprien,30,1995-01-28,Les Abymes,Guadeloupe,France,180 cm,79 kg,25,Midfielder,https://media.api-sports.io/football/players/22169.png
313,D. Ospina,David,Ospina Ramírez,37,1988-08-31,Medellín,Colombia,Colombia,183 cm,77 kg,1,Goalkeeper,https://media.api-sports.io/football/players/313.png
22173,A. Saint-Maximin,Allan Irénée,Saint-Maximin,28,1997-03-12,Châtenay-Malabry,France,France,173 cm,67 kg,97,Attacker,https://media.api-sports.io/football/players/22173.png
